bff58d7b-8b4a-456a-b852-5a3e000c0e63;12;996958849;NEXTEL;21:24:03;nao vai entrar
bff58d7b-8b4a-456a-b852-5a3e000c0e61;41;995390841;NEXTEL;15:24:03;vai entrar;ahjsdjhasdkhjkasdhkaksdjhjkasd to trolando
bff58d7b-8b4a-456a-b852-5a3e000c0e61;41;995390841;NEXTEL;20:24:03;nao vai entrar
b7e2af69-ce52-4812-adf1-395c8875ad30;46;950816645;CLARO;19:05:21;nao vai entrar
e7b87f43-9aa8-414b-9cec-f28e653ac25e;34;990171682;VIVO;18:35:20;vai entrar
c04096fe-2878-4485-886b-4a68a259bac5;43;940513739;NEXTEL;14:54:16;nao vai entrar
d81b2696-8b62-4b8b-af82-586ce0875ebc;21;983522711;TIM;16:42:48;vai entrar
d81b2696-8b62-4b8b-af82-586ce0875ebc;22;993522711;VIVO FIBRA;16:42:48;vai entrar
111111111111111111111111111111111111;24;986722083;TIM;16:42:48;nao vai entrar
222222222222222222222222222222222222;74;997899222;TIM;16:42:48;esta bugadoo na blacklist e vai entrar
